State,Capital city,Second city,Third city,Statehood,Capital since,Capital rank
Alabama,Montgomery,Austin,Des Moines,1819,1846,3
Alaska,Juneau,Nashville,Dover,1959,1906,3
Arizona,Phoenix,Topeka,Columbia,1912,1889,1
Arkansas,Little Rock,Saint Paul,Indianapolis,1836,1821,1
California,Sacramento,Harrisburg,Lansing,1850,1854,6
Colorado,Denver,Raleigh,Jackson,1876,1867,1
Connecticut,Hartford,Olympia,Indianapolis,1788,1875,3
Delaware,Dover,Boston,Honolulu,1787,1777,2
Florida,Tallahassee,Albany,Charleston,1845,1824,7
Georgia,Atlanta,Salt Lake City,Jackson,1788,1868,1
Hawaii,Honolulu,Jefferson City,Tallahassee,1959,1845,1
Idaho,Boise,Salt Lake City,Austin,1890,1865,1
Illinois,Springfield,Dover,Boise,1818,1837,6
Indiana,Indianapolis,Tallahassee,Columbia,1816,1825,1
Iowa,Des Moines,Topeka,Montgomery,1846,1857,1
Kansas,Topeka,Baton Rouge,Des Moines,1861,1856,4
Kentucky,Frankfort,Atlanta,Harrisburg,1792,1792,15
Louisiana,Baton Rouge,Columbia,Salt Lake City,1812,1880,2
Maine,Augusta,Saint Paul,Lincoln,1820,1832,8
Maryland,Annapolis,Atlanta,Lincoln,1788,1694,7
Massachusetts,Boston,Providence,Santa Fe,1788,1630,1
Michigan,Lansing,Jefferson City,Providence,1837,1847,5
Minnesota,Saint Paul,Little Rock,Frankfort,1858,1849,2
Mississippi,Jackson,Juneau,Raleigh,1817,1821,1
Missouri,Jefferson City,Little Rock,Hartford,1821,1826,15
Montana,Helena,Boston,Indianapolis,1889,1875,6
Nebraska,Lincoln,Nashville,Montgomery,1867,1867,2
Nevada,Carson City,Austin,Tallahassee,1864,1861,6
New Hampshire,Concord,Saint Paul,Frankfort,1788,1808,3
New Jersey,Trenton,Hartford,Providence,1787,1784,10
New Mexico,Santa Fe,Springfield,Columbus,1912,1610,4
New York,Albany,Harrisburg,Frankfort,1788,1797,6
North Carolina,Raleigh,Providence,Juneau,1789,1792,2
North Dakota,Bismarck,Boise,Santa Fe,1889,1883,2
Ohio,Columbus,Harrisburg,Jackson,1803,1816,1
Oklahoma,Oklahoma City,Madison,Phoenix,1907,1910,1
Oregon,Salem,Boston,Trenton,1859,1855,3
Pennsylvania,Harrisburg,Salt Lake City,Albany,1787,1812,9
Rhode Island,Providence,Boston,Santa Fe,1790,1900,1
South Carolina,Columbia,Nashville,Oklahoma City,1788,1786,2
South Dakota,Pierre,Augusta,Montpelier,1889,1889,8
Tennessee,Nashville,Bismarck,Helena,1796,1826,1
Texas,Austin,Denver,Annapolis,1845,1839,4
Utah,Salt Lake City,Saint Paul,Richmond,1896,1858,1
Vermont,Montpelier,Atlanta,Annapolis,1791,1805,6
Virginia,Richmond,Bismarck,Springfield,1788,1780,4
Washington,Olympia,Des Moines,Charleston,1889,1853,24
West Virginia,Charleston,Harrisburg,Olympia,1863,1885,1
Wisconsin,Madison,Charleston,Topeka,1848,1838,2
Wyoming,Cheyenne,Frankfort,Charleston,1890,1869,1
